  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal               
  0.000000000000000000E+00  1.000000000000000222E+00  0.000000000000000000E+00  0.000000000000000000E+00  0.000000000000000000E+00  9.942568941457471388E-01  0.000000000000000000E+00  9.942568941457471388E-01
  1.000000000000000036E-10  1.000000000000000000E+00  0.000000000000000000E+00  0.000000000000000000E+00  0.000000000000000000E+00  9.942568941457473608E-01  4.188186548378502318E-14  9.942568941457052833E-01
  2.999999999999999980E-10  1.000000000000000222E+00 -8.271806125530276749E-25 -1.654361225106055350E-24  0.000000000000000000E+00  9.942568941457473608E-01  3.817395378715078790E-13  9.942568941453655551E-01
  7.000000000000000643E-10  1.000000000000000222E+00 -2.481541837659083025E-24 -8.271806125530276749E-25  0.000000000000000000E+00  9.942568941457472498E-01  2.089417666227351026E-12  9.942568941436580321E-01
  1.500000000000000197E-09  1.000000000000000222E+00  3.308722450212110699E-24  0.000000000000000000E+00  0.000000000000000000E+00  9.942568941457473608E-01  9.623503598175946790E-12  9.942568941361239476E-01
  3.100000000000000462E-09  1.000000000000000000E+00 -3.308722450212110699E-24  3.308722450212110699E-24  0.000000000000000000E+00  9.942568941457473608E-01  4.118127422662520462E-11  9.942568941045659692E-01
  6.300000000000000165E-09  1.000000000000000000E+00  0.000000000000000000E+00 -1.323488980084844280E-23  0.000000000000000000E+00  9.942568941457473608E-01  1.702858846443275977E-10  9.942568939754615753E-01
  1.270000000000000123E-08  1.000000000000000000E+00 -1.323488980084844280E-23  2.646977960169688560E-23  0.000000000000000000E+00  9.942568941457474718E-01  6.925068455310011780E-10  9.942568934532406422E-01
  2.550000000000000335E-08  1.000000000000000000E+00  2.646977960169688560E-23 -2.646977960169688560E-23  0.000000000000000000E+00  9.942568941457473608E-01  2.793032408243098575E-09  9.942568913527147778E-01
  5.110000000000000097E-08  1.000000000000000000E+00 -5.293955920339377119E-23 -5.293955920339377119E-23  0.000000000000000000E+00  9.942568941457473608E-01  1.121785908436408250E-08  9.942568829278882747E-01
