  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal               
  0.000000000000000000E+00  1.000000000000000222E+00  1.373394672970079888E+00  3.469446951953614189E-16  0.000000000000000000E+00  8.169611081107474249E+00  7.175354186961595992E+00  9.942568941457526899E-01
  1.000000000000000036E-10  9.999999994548266491E-01  1.373394667799524571E+00  6.938893903907228378E-17  0.000000000000000000E+00  8.169611047121440706E+00  7.175354161824560428E+00  9.942568852967723636E-01
  2.999999999999999980E-10  9.999999983644802803E-01  1.373394657458413048E+00  5.551115123125782702E-17  0.000000000000000000E+00  8.169610979134889206E+00  7.175354111532350032E+00  9.942568676024057250E-01
  7.000000000000000643E-10  9.999999961837856555E-01  1.373394636760812748E+00 -5.551115123125782702E-17  0.000000000000000000E+00  8.171539191088349696E+00  7.176910529925673465E+00  9.946286611626815599E-01
  1.500000000000000197E-09  9.999999918223997364E-01  1.373394595365613258E+00  4.163336342344337027E-17  0.000000000000000000E+00  8.171538935304452522E+00  7.176910336778072441E+00  9.946285985264096130E-01
  3.100000000000000462E-09  9.999999830996257888E-01  1.373394512575214277E+00  2.498001805406602216E-16  0.000000000000000000E+00  8.171538430773974682E+00  7.176909949272501699E+00  9.946284815015657976E-01
  6.300000000000000165E-09  9.999999656540783377E-01  1.373394346994418980E+00  4.440892098500626162E-16  0.000000000000000000E+00  8.171537434560827151E+00  7.176909171543458754E+00  9.946282630174657635E-01
  1.270000000000000123E-08  9.999999307629825473E-01  1.373394015832833270E+00  3.330669073875469621E-16  0.000000000000000000E+00  8.171535504087080071E+00  7.176907607882748508E+00  9.946278962044271532E-01
  2.550000000000000335E-08  9.999998609807939642E-01  1.373393353509678505E+00 -2.359223927328457648E-16  0.000000000000000000E+00  8.171531609363755777E+00  7.176904379580006044E+00  9.946272297838416598E-01
  5.110000000000000097E-08  9.999997214164246806E-01  1.373392028863437364E+00 -2.498001805406602216E-16  0.000000000000000000E+00  8.171523842548989336E+00  7.176897723461614476E+00  9.946261190874632341E-01
  1.023000000000000095E-07  9.999994422877087619E-01  1.373389379571247293E+00  8.326672684688674053E-17  0.000000000000000000E+00  8.171508401009678124E+00  7.176884207090422407E+00  9.946241939193453119E-01
  2.047000000000000264E-07  9.999988840303812854E-01  1.373384080988001577E+00 -5.551115123125782702E-17  0.000000000000000000E+00  8.171478264477688214E+00  7.176857606359593689E+00  9.946206581181870066E-01
  4.095000000000000603E-07  9.999977675161313417E-01  1.373373483826075381E+00 -2.775557561562891351E-17  0.000000000000000000E+00  8.171419748104590042E+00  7.176805728101044224E+00  9.946140200036419632E-01
  8.191000000000001282E-07  9.999955344892514919E-01  1.373352289520502367E+00  5.551115123125782702E-17  0.000000000000000000E+00  8.171306760869478936E+00  7.176705375661067698E+00  9.946013852084935047E-01
  1.638300000000000052E-06  9.999910684419848206E-01  1.373309900982556453E+00  9.714451465470119729E-17  0.000000000000000000E+00  8.171092143076446490E+00  7.176508960235629786E+00  9.945831828408976394E-01
  3.276700000000000324E-06  9.999821363602060531E-01  1.373225124102040340E+00 -5.551115123125782702E-17  0.000000000000000000E+00  8.170671152478165666E+00  7.176147179749421845E+00  9.945239727288206488E-01
  6.553500000000000867E-06  9.999642722719426224E-01  1.373055571273377184E+00 -2.914335439641035919E-16  0.000000000000000000E+00  8.169789019858555434E+00  7.175337045227504262E+00  9.944519746311283326E-01
  1.310710000000000195E-05  9.999285443459644540E-01  1.372716468991461269E+00  1.249000902703301108E-16  0.000000000000000000E+00  8.168022119183948604E+00  7.174026469555318641E+00  9.939956496287021270E-01
  2.621430000000000412E-05  9.998570893243767799E-01  1.372038276563302128E+00  6.938893903907228378E-17  0.000000000000000000E+00  8.164477375224942435E+00  7.172480186899889532E+00  9.919971883251368361E-01
  5.242870000000000169E-05  9.997141852613549151E-01  1.370681959343921008E+00  1.110223024625156540E-16  0.000000000000000000E+00  8.157404363558164562E+00  7.172685393879318916E+00  9.847189696789419022E-01
  1.048575000000000104E-04  9.994503150543599945E-01  1.367969642906989858E+00 -2.081668171172168513E-16  0.000000000000000000E+00  5.820657077907839790E+06  5.820656113810141571E+06  9.640976277071939826E-01
  1.048576000000000038E-04  4.951764901886390400E+17 -2.009602440560638750E+15 -5.782495454822398438E+13  0.000000000000000000E+00  2.408909426359829845E+76  2.408909426359829845E+76  7.131331153605305731E+34
  1.048576999999999973E-04  1.302406185616590895+228                       NaN                       NaN  0.000000000000000000E+00                       NaN                       NaN  1.971558201238681156+277
  1.048577999999999907E-04  8.174214751798685568+168                       NaN                       NaN                       NaN                       NaN                       NaN  1.017436844544670102+284
  1.048578999999999841E-04  6.633274137537840811+166                       NaN                       NaN                       NaN                       NaN                       NaN  1.537539446539202663+249
  1.048579999999999776E-04  9.951527120936189963E-01                       NaN                       NaN                       NaN                       NaN                       NaN  9.634483129112061395E-01
  1.048581999999999780E-04  9.932314210047190617E-01                       NaN                       NaN                       NaN                       NaN                       NaN  9.552266965741468274E-01
  1.048585999999999789E-04  9.910746053195914618E-01                       NaN                       NaN                       NaN                       NaN                       NaN  7.753982341829891434E-01
  1.048593999999999807E-04  9.887022046780080675E-01                       NaN                       NaN                       NaN                       NaN                       NaN  4.557832649053297769E-01
  1.048609999999999842E-04  9.860492693781740536E-01                       NaN                       NaN                       NaN                       NaN                       NaN  1.855903876855480583E-01
  1.048641999999999776E-04  9.831648477754779680E-01                       NaN                       NaN                       NaN                       NaN                       NaN  3.341868007521436867E-02
  1.048705999999999781E-04  9.800125851011998179E-01                       NaN                       NaN                       NaN                       NaN                       NaN  6.345519830618725696E-03
  1.048833999999999791E-04  9.766383494223995765E-01                       NaN                       NaN                       NaN                       NaN                       NaN  6.288886914657279212E-03
  1.049089999999999810E-04  9.730123396397828417E-01                       NaN                       NaN                       NaN                       NaN                       NaN  6.227733577893627970E-03
  1.049601999999999848E-04  9.691515660058940274E-01                       NaN                       NaN                       NaN                       NaN                       NaN  6.148188731328853122E-03
  1.050625999999999790E-04  9.650370088020123749E-01                       NaN                       NaN                       NaN                       NaN                       NaN  6.041403350707233097E-03
  1.052673999999999808E-04  9.606829204139093470E-01                       NaN                       NaN                       NaN                       NaN                       NaN  5.964082556291418202E-03
  1.056769999999999845E-04  9.560762827937397956E-01                       NaN                       NaN                       NaN                       NaN                       NaN  5.884282996437670450E-03
  1.064961999999999783E-04  9.512224127308226418E-01                       NaN                       NaN                       NaN                       NaN                       NaN  5.868320221008770966E-03
  1.081345999999999794E-04  9.461319148211051466E-01                       NaN                       NaN                       NaN                       NaN                       NaN  5.884762918167575803E-03
  1.114113999999999816E-04  9.407936228836752957E-01                       NaN                       NaN                       NaN                       NaN                       NaN  5.931868898795421632E-03
